추첨일,회차,당첨번호,보너스번호,1등_총당첨금액,1등_당첨게임수,1등_1게임당당첨금액,2등_총당첨금액,2등_당첨게임수,2등_1게임당당첨금액,3등_총당첨금액,3등_당첨게임수,3등_1게임당당첨금액,4등_총당첨금액,4등_당첨게임수,4등_1게임당당첨금액,5등_총당첨금액,5등_당첨게임수,5등_1게임당당첨금액,자동/반자동/수동,총판매금액
(2019- 12- 07),888회,"3, 7, 12, 31, 34, 38",32,"18,962,873,632원",8,"2,370,359,204원","3,160,478,960원",59,"53,567,440원","3,160,479,542원","2,453","1,288,414원","6,151,250,000원","123,025","50,000원","9,953,575,000원","1,990,715","5,000원",당첨번호 6개 숫자일치,"82,777,313,000원"
(2019- 12- 14),889회,"3, 13, 29, 38, 39, 42",26,"21,089,869,500원",10,"2,108,986,950원","3,514,978,260원",60,"58,582,971원","3,514,979,594원","2,338","1,503,413원","5,709,900,000원","114,198","50,000원","9,537,385,000원","1,907,477","5,000원",당첨번호 6개 숫자일치,"86,734,222,000원"
(2019- 12- 21),890회,"1, 4, 14, 18, 29, 37",6,"21,019,375,503원",9,"2,335,486,167원","3,503,229,290원",58,"60,400,505원","3,503,231,424원","2,376","1,474,424원","5,742,950,000원","114,859","50,000원","9,577,965,000원","1,915,593","5,000원",당첨번호 6개 숫자일치,"86,693,498,000원"
(2019- 12- 28),891회,"9, 13, 28, 31, 39, 41",19,"21,578,717,629원",7,"3,082,673,947원","3,596,453,014원",77,"46,707,182원","3,596,455,121원","2,443","1,472,147원","6,106,600,000원","122,132","50,000원","9,993,115,000원","1,998,623","5,000원",당첨번호 6개 숫자일치,"89,742,677,000원"
(2020- 01- 04),892회,"4, 9, 17, 18, 26, 42",36,"21,794,296,888원",17,"1,282,017,464원","3,632,382,858원",78,"46,569,011원","3,632,384,322원","2,709","1,340,858원","6,707,750,000원","134,155","50,000원","10,778,745,000원","2,155,749","5,000원",당첨번호 6개 숫자일치,"93,091,115,000원"
(2020- 01- 11),893회,"1, 15, 17, 23, 25, 41",10,"21,396,902,625원",9,"2,377,433,625원","3,566,150,474원",58,"61,485,353원","3,566,152,360원","2,113","1,687,720원","5,803,100,000원","116,062","50,000원","9,498,480,000원","1,899,696","5,000원",당첨번호 6개 숫자일치,"87,661,567,000원"
(2020- 01- 18),894회,"19, 32, 37, 40, 41, 43",45,"21,401,423,631원",9,"2,377,935,959원","3,566,903,984원",56,"63,694,714원","3,566,905,524원","2,331","1,530,204원","5,837,450,000원","116,749","50,000원","9,859,910,000원","1,971,982","5,000원",당첨번호 6개 숫자일치,"88,465,183,000원"
(2020- 01- 25),895회,"16, 26, 31, 38, 39, 41",23,"23,136,950,628원",12,"1,928,079,219원","3,856,158,478원",58,"66,485,491원","3,856,160,000원","2,750","1,402,240원","6,702,950,000원","134,059","50,000원","10,928,910,000원","2,185,782","5,000원",당첨번호 6개 숫자일치,"96,962,255,000원"
(2020- 02- 01),896회,"5, 12, 25, 26, 38, 45",23,"21,372,554,252원",7,"3,053,222,036원","3,562,092,386원",46,"77,436,791원","3,562,093,458원","2,586","1,377,453원","6,403,400,000원","128,068","50,000원","10,330,860,000원","2,066,172","5,000원",당첨번호 6개 숫자일치,"90,461,998,000원"
(2020- 02- 08),897회,"6, 7, 12, 22, 26, 36",29,"21,058,992,760원",13,"1,619,922,520원","3,509,832,152원",62,"56,610,196원","3,509,832,700원","2,398","1,463,650원","6,053,800,000원","121,076","50,000원","9,983,280,000원","1,996,656","5,000원",당첨번호 6개 숫자일치,"88,231,474,000원"
