회차,추첨일,1등_당첨자수,1등_게임당_당첨금액,당첨번호_1,당첨번호_2,당첨번호_3,당첨번호_4,당첨번호_5,당첨번호_6,보너스번호,당첨번호_합,당첨번호_평균,당첨번호_홀짝비율,자동_당첨자수,수동_당첨자수,반자동_당첨자수,1등_당첨판매점
122,2005년 04월 02일,0,13050664200,1,11,16,17,36,40,8,121,20.17,3:3,0,0,0,
123,2005년 04월 09일,0,12664913400,7,17,18,28,30,45,27,145,24.17,3:3,0,0,0,
124,2005년 04월 16일,0,12563426403,4,16,23,25,29,42,1,139,23.17,3:3,0,0,0,
125,2005년 04월 23일,0,12284095502,2,8,32,33,35,36,18,146,24.33,2:4,0,0,0,
126,2005년 04월 30일,0,12323713500,7,20,22,27,40,43,1,159,26.5,3:3,0,0,0,
127,2005년 05월 07일,0,11795634900,3,5,10,29,32,43,35,122,20.33,4:2,0,0,0,
128,2005년 05월 14일,0,12384258600,12,30,34,36,37,45,39,194,32.33,2:4,0,0,0,
129,2005년 05월 21일,0,12029926205,19,23,25,28,38,42,17,175,29.17,3:3,0,0,0,
130,2005년 05월 28일,0,12145986600,7,19,24,27,42,45,31,164,27.33,4:2,0,0,0,
131,2005년 06월 04일,0,11609715904,8,10,11,14,15,21,37,79,13.17,3:3,0,0,0,
132,2005년 06월 11일,0,11681894100,3,17,23,34,41,45,43,163,27.17,5:1,0,0,0,
133,2005년 06월 18일,0,11601940800,4,7,15,18,23,26,13,93,15.5,3:3,0,0,0,
134,2005년 06월 25일,0,11745775500,3,12,20,23,31,35,43,124,20.67,4:2,0,0,0,
135,2005년 07월 02일,0,12021054605,6,14,22,28,35,39,16,144,24.0,2:4,0,0,0,
136,2005년 07월 09일,0,11986164900,2,16,30,36,41,42,11,167,27.83,1:5,0,0,0,
137,2005년 07월 16일,0,11433631203,7,9,20,25,36,39,15,136,22.67,4:2,0,0,0,
138,2005년 07월 23일,0,11135760000,10,11,27,28,37,39,19,152,25.33,4:2,0,0,0,
139,2005년 07월 30일,0,11551471505,9,11,15,20,28,43,13,126,21.0,4:2,0,0,0,
140,2005년 08월 06일,0,10547314200,3,13,17,18,19,28,8,98,16.33,4:2,0,0,0,
141,2005년 08월 13일,0,11403314400,8,12,29,31,42,43,2,165,27.5,3:3,0,0,0,
142,2005년 08월 20일,0,11200921204,12,16,30,34,40,44,19,176,29.33,0:6,0,0,0,
